iter	Passed	Remaining
760	5335	1675
761	5340	1668
762	5347	1660
763	5352	1653
764	5360	1646
765	5363	1638
766	5366	1630
767	5370	1622
768	5376	1615
769	5379	1607
770	5383	1599
771	5391	1592
772	5396	1584
773	5399	1576
774	5407	1569
775	5413	1562
776	5424	1556
777	5429	1549
778	5439	1543
779	5447	1536
780	5454	1529
781	5459	1522
782	5467	1515
783	5474	1508
784	5479	1500
785	5483	1492
786	5487	1485
787	5490	1477
788	5493	1469
789	5496	1461
790	5505	1454
791	5510	1447
792	5515	1439
793	5523	1432
794	5527	1425
795	5537	1419
796	5543	1411
797	5551	1405
798	5556	1397
799	5562	1390
800	5570	1383
801	5575	1376
802	5581	1369
803	5588	1362
804	5592	1354
805	5596	1347
806	5605	1340
807	5612	1333
808	5620	1326
809	5625	1319
810	5633	1312
811	5640	1305
812	5644	1298
813	5652	1291
814	5656	1283
815	5659	1276
816	5664	1268
817	5668	1261
818	5671	1253
819	5674	1245
820	5680	1238
821	5685	1231
822	5688	1223
823	5699	1217
824	5703	1209
825	5708	1202
826	5717	1196
827	5722	1188
828	5729	1181
829	5737	1175
830	5746	1168
831	5752	1161
832	5757	1154
833	5764	1147
834	5772	1140
835	5785	1134
836	5798	1129
837	5808	1122
838	5818	1116
839	5823	1109
840	5836	1103
841	5850	1097
842	5862	1091
843	5868	1084
844	5875	1077
845	5884	1071
846	5895	1064
847	5900	1057
848	5910	1051
849	5915	1043
850	5921	1036
851	5931	1030
852	5936	1023
853	5947	1016
854	5951	1009
855	5959	1002
856	5964	995
857	5969	987
858	5977	981
859	5983	974
860	5992	967
861	5996	959
862	6001	952
863	6008	945
864	6014	938
865	6018	931
866	6029	924
867	6034	917
868	6043	910
869	6047	903
870	6056	897
871	6061	889
872	6066	882
873	6078	876
874	6088	869
875	6095	862
876	6104	856
877	6111	849
878	6119	842
879	6125	835
880	6130	828
881	6138	821
882	6143	813
883	6148	806
884	6155	799
885	6161	792
886	6165	785
887	6174	778
888	6181	771
889	6190	765
890	6197	758
891	6203	751
892	6213	744
893	6221	737
894	6235	731
895	6241	724
896	6251	717
897	6257	710
898	6268	704
899	6274	697
900	6285	690
901	6291	683
902	6302	677
903	6307	669
904	6313	662
905	6320	655
906	6326	648
907	6334	641
908	6338	634
909	6346	627
910	6351	620
911	6355	613
912	6364	606
913	6370	599
914	6373	592
915	6379	585
916	6384	577
917	6388	570
918	6397	563
919	6401	556
920	6408	549
921	6414	542
922	6421	535
923	6430	528
924	6434	521
925	6443	514
926	6448	507
927	6452	500
928	6457	493
929	6460	486
930	6464	479
931	6467	471
932	6471	464
933	6476	457
934	6481	450
935	6485	443
936	6493	436
937	6497	429
938	6503	422
939	6511	415
940	6518	408
941	6526	401
942	6530	394
943	6538	387
944	6544	380
945	6549	373
946	6558	367
947	6563	360
948	6566	352
949	6577	346
950	6583	339
951	6592	332
952	6597	325
953	6605	318
954	6611	311
955	6620	304
956	6626	297
957	6631	290
958	6639	283
959	6643	276
960	6646	269
961	6650	262
962	6655	255
963	6659	248
964	6663	241
965	6671	234
966	6679	227
967	6687	221
968	6693	214
969	6700	207
970	6708	200
971	6718	193
972	6723	186
973	6728	179
974	6736	172
975	6741	165
976	6744	158
977	6750	151
978	6754	144
979	6757	137
980	6760	130
981	6767	124
982	6772	117
983	6776	110
984	6783	103
985	6787	96
986	6791	89
987	6795	82
988	6801	75
989	6806	68
990	6809	61
991	6815	54
992	6818	48
993	6821	41
994	6824	34
995	6829	27
996	6834	20
997	6836	13
998	6839	6
999	6842	0
0
